posted,neighborhood,post title,number bedrooms,sqft,URL,price
2020-01-17 20:42:00,Bothell,Available in MARCH! 2bed/2bath Top Floor Condo!,2.0,1080.0,https://seattle.craigslist.org/est/apa/d/bothell-available-in-march-2bed-2bath/7058240407.html,1800
2020-01-17 20:38:00,Redmond Ridge,2BD Redmond Ridge-Close to jogging trails,2.0,1187.0,https://seattle.craigslist.org/est/apa/d/sammamish-2bd-redmond-ridge-close-to/7053180172.html,2516
2020-01-17 20:34:00,Bothell,Free Access to Indoor Saltwater Pool! Live in Downtown Bothell!,2.0,1080.0,https://seattle.craigslist.org/est/apa/d/bothell-free-access-to-indoor-saltwater/7058238308.html,1800
2020-01-17 20:31:00,Olympia,3 bed 2 bath house for rent,3.0,1484.0,https://seattle.craigslist.org/oly/apa/d/olympia-3-bed-2-bath-house-for-rent/7058237493.html,1400
2020-01-17 20:27:00,Kirkland,"2ba, Move in this week for BEST value, Ground floor apt.",2.0,907.0,https://seattle.craigslist.org/est/apa/d/kirkland-2ba-move-in-this-week-for-best/7058236545.html,1857
2020-01-17 20:27:00,Tumwater,Small apartment community in Tumwater,2.0,900.0,https://seattle.craigslist.org/oly/apa/d/tumwater-small-apartment-community-in/7058236491.html,1150
2020-01-17 20:26:00,Juanita,"1ba (E101) Ground floor, lots of windows = Lots of Light, Move In Read",2.0,850.0,https://seattle.craigslist.org/est/apa/d/kirkland-1ba-e101-ground-floor-lots-of/7058236142.html,1755
2020-01-17 20:25:00,Kent,"Modern conveniences & entertainment, all within your reach.",2.0,915.0,https://seattle.craigslist.org/skc/apa/d/kent-modern-conveniences-entertainment/7051769930.html,1699
2020-01-17 20:25:00,Kent,$300 OFF FIRST MONTHS RENT! CALL US TODAY AND SCHEDULE A TOUR!,2.0,940.0,https://seattle.craigslist.org/skc/apa/d/kent-300-off-first-months-rent-call-us/7056619923.html,1799
2020-01-17 20:24:00,Newcastle Near Bellevue & Issaquah,Studio Now Available for Move-In!,,590.0,https://seattle.craigslist.org/est/apa/d/bellevue-studio-now-available-for-move/7053713307.html,1675
2020-01-17 20:22:00,Olympia,Upstairs 2 bdrm apartment,2.0,900.0,https://seattle.craigslist.org/oly/apa/d/olympia-upstairs-2-bdrm-apartment/7058235162.html,1150
